EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 CC   : Cloud cover in oktas
30-34 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:16435 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   CC, Q_CC
  1825, 16435,19600601,    6,    0
  1825, 16435,19600602,    6,    0
  1825, 16435,19600603,    5,    0
  1825, 16435,19600604,    5,    0
  1825, 16435,19600605,    2,    0
  1825, 16435,19600606,    8,    0
  1825, 16435,19600607,    6,    0
  1825, 16435,19600608,    7,    0
  1825, 16435,19600609,    7,    0
  1825, 16435,19600610,    6,    0
  1825, 16435,19600611,    7,    0
  1825, 16435,19600612,    6,    0
  1825, 16435,19600613,    7,    0
  1825, 16435,19600614,    6,    0
  1825, 16435,19600615,    6,    0
  1825, 16435,19600616,    7,    0
  1825, 16435,19600617,    6,    0
  1825, 16435,19600618,    6,    0
  1825, 16435,19600619,    5,    0
  1825, 16435,19600620,    6,    0
  1825, 16435,19600621,    5,    0
  1825, 16435,19600622,    3,    0
  1825, 16435,19600623,    2,    0
  1825, 16435,19600624,    2,    0
  1825, 16435,19600625,    4,    0
  1825, 16435,19600626,    6,    0
  1825, 16435,19600627,    6,    0
  1825, 16435,19600628,    6,    0
  1825, 16435,19600629,    5,    0
  1825, 16435,19600630,    5,    0
  1825, 16435,19600701,    6,    0
  1825, 16435,19600702,    7,    0
  1825, 16435,19600703,    4,    0
  1825, 16435,19600704,    6,    0
  1825, 16435,19600705,    7,    0
  1825, 16435,19600706,    8,    0
  1825, 16435,19600707,    7,    0
  1825, 16435,19600708,    8,    0
  1825, 16435,19600709,    6,    0
  1825, 16435,19600710,    6,    0
  1825, 16435,19600711,    8,    0
  1825, 16435,19600712,    6,    0
  1825, 16435,19600713,    7,    0
  1825, 16435,19600714,    5,    0
  1825, 16435,19600715,    6,    0
  1825, 16435,19600716,    6,    0
  1825, 16435,19600717,    7,    0
  1825, 16435,19600718,    7,    0
  1825, 16435,19600719,    7,    0
  1825, 16435,19600720,    6,    0
  1825, 16435,19600721,    7,    0
  1825, 16435,19600722,    6,    0
  1825, 16435,19600723,    6,    0
  1825, 16435,19600724,    7,    0
  1825, 16435,19600725,    6,    0
  1825, 16435,19600726,    5,    0
  1825, 16435,19600727,    5,    0
  1825, 16435,19600728,    8,    0
  1825, 16435,19600729,    4,    0
  1825, 16435,19600730,    6,    0
  1825, 16435,19600731,    3,    0
  1825, 16435,19600801,    5,    0
  1825, 16435,19600802,    7,    0
  1825, 16435,19600803,    8,    0
  1825, 16435,19600804,    8,    0
  1825, 16435,19600805,    5,    0
  1825, 16435,19600806,    6,    0
  1825, 16435,19600807,    7,    0
  1825, 16435,19600808,    4,    0
  1825, 16435,19600809,    6,    0
  1825, 16435,19600810,    8,    0
  1825, 16435,19600811,    6,    0
  1825, 16435,19600812,    6,    0
  1825, 16435,19600813,    5,    0
  1825, 16435,19600814,    5,    0
  1825, 16435,19600815,    7,    0
  1825, 16435,19600816,    6,    0
  1825, 16435,19600817,    5,    0
  1825, 16435,19600818,    7,    0
  1825, 16435,19600819,    7,    0
  1825, 16435,19600820,    6,    0
  1825, 16435,19600821,    7,    0
  1825, 16435,19600822,    7,    0
  1825, 16435,19600823,    5,    0
  1825, 16435,19600824,    4,    0
  1825, 16435,19600825,-9999,    9
  1825, 16435,19600826,    4,    0
  1825, 16435,19600827,    8,    0
  1825, 16435,19600828,    7,    0
  1825, 16435,19600829,    3,    0
  1825, 16435,19600830,    7,    0
  1825, 16435,19600831,    6,    0
  1825, 16435,19600901,    4,    0
  1825, 16435,19600902,    5,    0
  1825, 16435,19600903,    8,    0
  1825, 16435,19600904,    6,    0
  1825, 16435,19600905,    5,    0
  1825, 16435,19600906,    7,    0
  1825, 16435,19600907,    6,    0
  1825, 16435,19600908,    6,    0
  1825, 16435,19600909,    4,    0
  1825, 16435,19600910,    6,    0
  1825, 16435,19600911,    7,    0
  1825, 16435,19600912,    7,    0
  1825, 16435,19600913,    6,    0
  1825, 16435,19600914,    8,    0
  1825, 16435,19600915,    3,    0
  1825, 16435,19600916,    6,    0
  1825, 16435,19600917,    8,    0
  1825, 16435,19600918,    3,    0
  1825, 16435,19600919,    8,    0
  1825, 16435,19600920,    7,    0
  1825, 16435,19600921,    4,    0
  1825, 16435,19600922,    8,    0
  1825, 16435,19600923,    5,    0
  1825, 16435,19600924,    7,    0
  1825, 16435,19600925,    2,    0
  1825, 16435,19600926,    7,    0
  1825, 16435,19600927,    8,    0
  1825, 16435,19600928,    6,    0
  1825, 16435,19600929,    5,    0
  1825, 16435,19600930,    6,    0
  1825, 16435,19601001,    7,    0
  1825, 16435,19601002,    8,    0
  1825, 16435,19601003,    7,    0
  1825, 16435,19601004,    6,    0
  1825, 16435,19601005,    6,    0
  1825, 16435,19601006,    6,    0
  1825, 16435,19601007,    7,    0
  1825, 16435,19601008,    6,    0
  1825, 16435,19601009,    8,    0
  1825, 16435,19601010,    8,    0
  1825, 16435,19601011,    6,    0
  1825, 16435,19601012,    5,    0
  1825, 16435,19601013,    6,    0
  1825, 16435,19601014,    7,    0
  1825, 16435,19601015,    7,    0
  1825, 16435,19601016,    5,    0
  1825, 16435,19601017,    5,    0
  1825, 16435,19601018,    7,    0
  1825, 16435,19601019,    8,    0
  1825, 16435,19601020,    8,    0
  1825, 16435,19601021,    8,    0
  1825, 16435,19601022,    8,    0
  1825, 16435,19601023,    8,    0
  1825, 16435,19601024,    8,    0
  1825, 16435,19601025,    8,    0
  1825, 16435,19601026,    8,    0
  1825, 16435,19601027,    8,    0
  1825, 16435,19601028,    8,    0
  1825, 16435,19601029,    8,    0
  1825, 16435,19601030,    8,    0
  1825, 16435,19601031,    7,    0
  1825, 16435,19601101,    8,    0
  1825, 16435,19601102,    8,    0
  1825, 16435,19601103,    6,    0
  1825, 16435,19601104,    6,    0
  1825, 16435,19601105,    6,    0
