EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 PP   : Sea level pressure in 0.1 hPa
30-34 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:16432 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   PP, Q_PP
  1825, 16432,19600531,10234,    0
  1825, 16432,19600601,10223,    0
  1825, 16432,19600602,10237,    0
  1825, 16432,19600603,10241,    0
  1825, 16432,19600604,10207,    0
  1825, 16432,19600605,10159,    0
  1825, 16432,19600606,10106,    0
  1825, 16432,19600607,10108,    0
  1825, 16432,19600608,10002,    0
  1825, 16432,19600609, 9931,    0
  1825, 16432,19600610,10003,    0
  1825, 16432,19600611,10040,    0
  1825, 16432,19600612, 9958,    0
  1825, 16432,19600613, 9966,    0
  1825, 16432,19600614,10092,    0
  1825, 16432,19600615,10184,    0
  1825, 16432,19600616,10148,    0
  1825, 16432,19600617,10198,    0
  1825, 16432,19600618,10224,    0
  1825, 16432,19600619,10250,    0
  1825, 16432,19600620,10245,    0
  1825, 16432,19600621,10246,    0
  1825, 16432,19600622,10207,    0
  1825, 16432,19600623,10213,    0
  1825, 16432,19600624,10234,    0
  1825, 16432,19600625,10242,    0
  1825, 16432,19600626,10299,    0
  1825, 16432,19600627,10300,    0
  1825, 16432,19600628,10248,    0
  1825, 16432,19600629,10209,    0
  1825, 16432,19600630,10194,    0
  1825, 16432,19600701,10177,    0
  1825, 16432,19600702,10184,    0
  1825, 16432,19600703,10174,    0
  1825, 16432,19600704,10110,    0
  1825, 16432,19600705,10007,    0
  1825, 16432,19600706, 9942,    0
  1825, 16432,19600707, 9990,    0
  1825, 16432,19600708,10039,    0
  1825, 16432,19600709,10060,    0
  1825, 16432,19600710,10034,    0
  1825, 16432,19600711,10011,    0
  1825, 16432,19600712,10077,    0
  1825, 16432,19600713,10054,    0
  1825, 16432,19600714,10001,    0
  1825, 16432,19600715,10044,    0
  1825, 16432,19600716,10096,    0
  1825, 16432,19600717, 9988,    0
  1825, 16432,19600718, 9993,    0
  1825, 16432,19600719,10125,    0
  1825, 16432,19600720,10219,    0
  1825, 16432,19600721,10147,    0
  1825, 16432,19600722,10114,    0
  1825, 16432,19600723,10155,    0
  1825, 16432,19600724,10105,    0
  1825, 16432,19600725,10107,    0
  1825, 16432,19600726,10136,    0
  1825, 16432,19600727,10139,    0
  1825, 16432,19600728,10033,    0
  1825, 16432,19600729, 9985,    0
  1825, 16432,19600730,10072,    0
  1825, 16432,19600731,10122,    0
  1825, 16432,19600801,10184,    0
  1825, 16432,19600802,10182,    0
  1825, 16432,19600803,10165,    0
  1825, 16432,19600804,10185,    0
  1825, 16432,19600805,10203,    0
  1825, 16432,19600806,10179,    0
  1825, 16432,19600807,10150,    0
  1825, 16432,19600808,10132,    0
  1825, 16432,19600809,10107,    0
  1825, 16432,19600810,10078,    0
  1825, 16432,19600811,10099,    0
  1825, 16432,19600812,10096,    0
  1825, 16432,19600813,10043,    0
  1825, 16432,19600814,10021,    0
  1825, 16432,19600815,10044,    0
  1825, 16432,19600816,10065,    0
  1825, 16432,19600817,10055,    0
  1825, 16432,19600818,10038,    0
  1825, 16432,19600819,10054,    0
  1825, 16432,19600820,10093,    0
  1825, 16432,19600821,10099,    0
  1825, 16432,19600822,10009,    0
  1825, 16432,19600823,10031,    0
  1825, 16432,19600824,10082,    0
  1825, 16432,19600825,10042,    0
  1825, 16432,19600826,10123,    0
  1825, 16432,19600827,10160,    0
  1825, 16432,19600828,10139,    0
  1825, 16432,19600829,10119,    0
  1825, 16432,19600830,10110,    0
  1825, 16432,19600831,10114,    0
  1825, 16432,19600901,10117,    0
  1825, 16432,19600902,10105,    0
  1825, 16432,19600903,10032,    0
  1825, 16432,19600904,10070,    0
  1825, 16432,19600905,10140,    0
  1825, 16432,19600906,10140,    0
  1825, 16432,19600907,10166,    0
  1825, 16432,19600908,10193,    0
  1825, 16432,19600909,10172,    0
  1825, 16432,19600910,10171,    0
  1825, 16432,19600911,10150,    0
  1825, 16432,19600912,10187,    0
  1825, 16432,19600913,10172,    0
  1825, 16432,19600914,10024,    0
  1825, 16432,19600915, 9972,    0
  1825, 16432,19600916,10067,    0
  1825, 16432,19600917,10093,    0
  1825, 16432,19600918,10136,    0
  1825, 16432,19600919,10118,    0
  1825, 16432,19600920,10177,    0
  1825, 16432,19600921,10136,    0
  1825, 16432,19600922,10149,    0
  1825, 16432,19600923,10219,    0
  1825, 16432,19600924,10222,    0
  1825, 16432,19600925,10276,    0
  1825, 16432,19600926,10276,    0
  1825, 16432,19600927,10204,    0
  1825, 16432,19600928,10174,    0
  1825, 16432,19600929,10187,    0
  1825, 16432,19600930,10184,    0
  1825, 16432,19601001,10178,    0
  1825, 16432,19601002,10154,    0
  1825, 16432,19601003,10025,    0
  1825, 16432,19601004,10035,    0
  1825, 16432,19601005,10026,    0
  1825, 16432,19601006,10043,    0
  1825, 16432,19601007,10068,    0
  1825, 16432,19601008,10065,    0
  1825, 16432,19601009,10026,    0
  1825, 16432,19601010,10042,    0
  1825, 16432,19601011,10091,    0
  1825, 16432,19601012,10109,    0
  1825, 16432,19601013,10097,    0
  1825, 16432,19601014,10187,    0
  1825, 16432,19601015,10267,    0
  1825, 16432,19601016,10259,    0
  1825, 16432,19601017,10199,    0
  1825, 16432,19601018,10103,    0
  1825, 16432,19601019,10064,    0
  1825, 16432,19601020,10060,    0
  1825, 16432,19601021,10040,    0
  1825, 16432,19601022,10062,    0
  1825, 16432,19601023,10083,    0
  1825, 16432,19601024,10106,    0
  1825, 16432,19601025,10046,    0
  1825, 16432,19601026,10027,    0
  1825, 16432,19601027,10049,    0
  1825, 16432,19601028,10071,    0
  1825, 16432,19601029,10081,    0
  1825, 16432,19601030,10038,    0
  1825, 16432,19601031,10023,    0
  1825, 16432,19601101, 9895,    0
  1825, 16432,19601102, 9696,    0
  1825, 16432,19601103, 9830,    0
  1825, 16432,19601104, 9823,    0
  1825, 16432,19601105, 9966,    0
  1825, 16432,19601106,10142,    0
  1825, 16432,19601107,10221,    0
  1825, 16432,19601108,10193,    0
  1825, 16432,19601109,10055,    0
  1825, 16432,19601110, 9855,    0
  1825, 16432,19601111, 9792,    0
  1825, 16432,19601112, 9924,    0
  1825, 16432,19601113, 9990,    0
  1825, 16432,19601114, 9977,    0
  1825, 16432,19601115, 9956,    0
  1825, 16432,19601116,-9999,    9
  1825, 16432,19601117,10009,    0
  1825, 16432,19601118,10052,    0
  1825, 16432,19601119,10088,    0
  1825, 16432,19601120,10077,    0
  1825, 16432,19601121,10033,    0
  1825, 16432,19601122,10001,    0
  1825, 16432,19601123, 9957,    0
  1825, 16432,19601124, 9893,    0
  1825, 16432,19601125, 9921,    0
  1825, 16432,19601126, 9967,    0
  1825, 16432,19601127,10080,    0
  1825, 16432,19601128,10103,    0
  1825, 16432,19601129,10095,    0
  1825, 16432,19601130, 9984,    0
  1825, 16432,19601201, 9913,    0
  1825, 16432,19601202, 9991,    0
  1825, 16432,19601203, 9841,    0
  1825, 16432,19601204, 9722,    0
  1825, 16432,19601205, 9813,    0
  1825, 16432,19601206, 9936,    0
  1825, 16432,19601207,10005,    0
  1825, 16432,19601208,10075,    0
  1825, 16432,19601209,10130,    0
  1825, 16432,19601210,10246,    0
  1825, 16432,19601211,10201,    0
  1825, 16432,19601212,10180,    0
  1825, 16432,19601213,10188,    0
  1825, 16432,19601214,10197,    0
  1825, 16432,19601215,10227,    0
  1825, 16432,19601216,10170,    0
  1825, 16432,19601217,10141,    0
  1825, 16432,19601218,10069,    0
  1825, 16432,19601219,10009,    0
  1825, 16432,19601220,10064,    0
  1825, 16432,19601221,10118,    0
  1825, 16432,19601222,10091,    0
  1825, 16432,19601223, 9954,    0
  1825, 16432,19601224,10053,    0
  1825, 16432,19601225, 9949,    0
  1825, 16432,19601226, 9739,    0
  1825, 16432,19601227, 9875,    0
  1825, 16432,19601228, 9902,    0
  1825, 16432,19601229,10025,    0
  1825, 16432,19601230, 9988,    0
  1825, 16432,19601231, 9954,    0
  1825, 16432,19610101, 9950,    0
  1825, 16432,19610102, 9830,    0
  1825, 16432,19610103, 9821,    0
  1825, 16432,19610104, 9993,    0
  1825, 16432,19610105,10011,    0
