EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SS   : Sunshine in 0.1 Hours
30-34 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:16434 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   SS, Q_SS
  1825, 16434,19600601,   74,    0
  1825, 16434,19600602,   48,    0
  1825, 16434,19600603,  117,    0
  1825, 16434,19600604,  132,    0
  1825, 16434,19600605,  134,    0
  1825, 16434,19600606,   28,    0
  1825, 16434,19600607,   93,    0
  1825, 16434,19600608,   32,    0
  1825, 16434,19600609,   11,    0
  1825, 16434,19600610,   52,    0
  1825, 16434,19600611,   32,    0
  1825, 16434,19600612,    2,    0
  1825, 16434,19600613,   73,    0
  1825, 16434,19600614,   18,    0
  1825, 16434,19600615,   99,    0
  1825, 16434,19600616,   41,    0
  1825, 16434,19600617,   70,    0
  1825, 16434,19600618,   38,    0
  1825, 16434,19600619,   90,    0
  1825, 16434,19600620,  117,    0
  1825, 16434,19600621,  118,    0
  1825, 16434,19600622,  133,    0
  1825, 16434,19600623,  151,    0
  1825, 16434,19600624,  145,    0
  1825, 16434,19600625,  126,    0
  1825, 16434,19600626,   52,    0
  1825, 16434,19600627,   90,    0
  1825, 16434,19600628,   81,    0
  1825, 16434,19600629,   52,    0
  1825, 16434,19600630,  107,    0
  1825, 16434,19600701,   64,    0
  1825, 16434,19600702,   76,    0
  1825, 16434,19600703,  119,    0
  1825, 16434,19600704,   30,    0
  1825, 16434,19600705,   17,    0
  1825, 16434,19600706,    0,    0
  1825, 16434,19600707,   10,    0
  1825, 16434,19600708,    0,    0
  1825, 16434,19600709,   42,    0
  1825, 16434,19600710,   42,    0
  1825, 16434,19600711,    2,    0
  1825, 16434,19600712,   86,    0
  1825, 16434,19600713,   23,    0
  1825, 16434,19600714,   80,    0
  1825, 16434,19600715,   72,    0
  1825, 16434,19600716,   73,    0
  1825, 16434,19600717,    6,    0
  1825, 16434,19600718,   46,    0
  1825, 16434,19600719,   25,    0
  1825, 16434,19600720,   68,    0
  1825, 16434,19600721,   67,    0
  1825, 16434,19600722,   64,    0
  1825, 16434,19600723,   35,    0
  1825, 16434,19600724,   35,    0
  1825, 16434,19600725,   68,    0
  1825, 16434,19600726,   53,    0
  1825, 16434,19600727,   56,    0
  1825, 16434,19600728,    0,    0
  1825, 16434,19600729,  118,    0
  1825, 16434,19600730,   78,    0
  1825, 16434,19600731,  127,    0
  1825, 16434,19600801,  109,    0
  1825, 16434,19600802,    0,    0
  1825, 16434,19600803,   39,    0
  1825, 16434,19600804,    0,    0
  1825, 16434,19600805,  109,    0
  1825, 16434,19600806,   17,    0
  1825, 16434,19600807,    4,    0
  1825, 16434,19600808,   89,    0
  1825, 16434,19600809,   43,    0
  1825, 16434,19600810,    0,    0
  1825, 16434,19600811,   51,    0
  1825, 16434,19600812,   72,    0
  1825, 16434,19600813,   45,    0
  1825, 16434,19600814,   70,    0
  1825, 16434,19600815,   31,    0
  1825, 16434,19600816,   45,    0
  1825, 16434,19600817,   48,    0
  1825, 16434,19600818,   33,    0
  1825, 16434,19600819,   65,    0
  1825, 16434,19600820,   27,    0
  1825, 16434,19600821,    0,    0
  1825, 16434,19600822,   49,    0
  1825, 16434,19600823,   92,    0
  1825, 16434,19600824,  103,    0
  1825, 16434,19600825,    0,    0
  1825, 16434,19600826,  126,    0
  1825, 16434,19600827,    0,    0
  1825, 16434,19600828,    0,    0
  1825, 16434,19600829,   82,    0
  1825, 16434,19600830,   15,    0
  1825, 16434,19600831,   33,    0
  1825, 16434,19600901,   88,    0
  1825, 16434,19600902,   28,    0
  1825, 16434,19600903,    0,    0
  1825, 16434,19600904,   41,    0
  1825, 16434,19600905,   69,    0
  1825, 16434,19600906,   33,    0
  1825, 16434,19600907,   71,    0
  1825, 16434,19600908,   31,    0
  1825, 16434,19600909,  106,    0
  1825, 16434,19600910,   82,    0
  1825, 16434,19600911,   40,    0
  1825, 16434,19600912,   43,    0
  1825, 16434,19600913,   73,    0
  1825, 16434,19600914,    0,    0
  1825, 16434,19600915,   52,    0
  1825, 16434,19600916,    6,    0
  1825, 16434,19600917,    0,    0
  1825, 16434,19600918,  102,    0
  1825, 16434,19600919,   12,    0
  1825, 16434,19600920,    0,    0
  1825, 16434,19600921,   62,    0
  1825, 16434,19600922,    0,    0
  1825, 16434,19600923,   98,    0
  1825, 16434,19600924,    0,    0
  1825, 16434,19600925,   94,    0
  1825, 16434,19600926,   13,    0
  1825, 16434,19600927,    0,    0
  1825, 16434,19600928,   53,    0
  1825, 16434,19600929,   50,    0
  1825, 16434,19600930,   31,    0
  1825, 16434,19601001,    5,    0
  1825, 16434,19601002,    0,    0
  1825, 16434,19601003,    0,    0
  1825, 16434,19601004,    3,    0
